label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
K3_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9019123085818184;False;False;50246990.75926882;False;False;0x00000209D11EFBA8;False;m;0.17118085856794996;False
K3_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;2.2052718586514177;False;False;-876378569.8484236;False;False;0x00000209D11EFC50;False;m;-0.46109584437304313;False
K4_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9118476827282074;False;False;21158984913.611294;False;False;0x00000209D11EFC88;False;m;0.008323294772547056;False
K4_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.2070712586881878;False;False;-98527596.20548034;False;False;0x00000209D11EFD30;False;m;-0.2889211061648553;False
K14_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.869610188474579;False;False;334001130.968554;False;False;0x00000209D11EFDA0;False;m;0.06598637219285354;False
K14_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.759497408736172;False;False;4773753333.237766;False;False;0x00000209D11EFD68;False;m;0.053704418931140245;False
K19_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.8985988390092877;False;False;742685400.6784246;False;False;0x00000209D11EFCC0;False;m;0.044343359496513635;False
K19_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9038440786565977;False;False;99145208.58543389;False;False;0x00000209D11EFCF8;False;m;0.11162206650525423;False
K20_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.908023586602535;False;False;1862632098.591375;False;False;0x00000209D11EFDD8;False;m;0.0279638118896486;False
K20_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9104369071057871;False;False;5308166765.377073;False;False;0x00000209D11EFE80;False;m;0.01586924319309999;False
K23_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9083283648451832;False;False;14619669220.71775;False;False;0x00000209D11EFE10;False;m;0.010005659501635834;False
K23_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.025711717601231;False;False;-31184575.429451983;False;False;0x00000209D11EFE48;False;m;-0.02691325428416611;False
K25_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9073967358870156;False;False;20082276380.345352;False;False;0x00000209D11EFA20;False;m;0.008542568379785698;False
K25_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0440549962941685;False;False;-61204523.67634529;False;False;0x00000209D11EFA90;False;m;-0.0412544205409325;False
K27_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9052005524760166;False;False;14266839446.765789;False;False;0x00000209D11EFAC8;False;m;0.010126079092865801;False
K27_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0166678685590376;False;False;-28724964.682095848;False;False;0x00000209D11EFA58;False;m;-0.014028565807655368;False
K29_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9048921579935919;False;False;28898718459.211678;False;False;0x00000209D11EFEB8;False;m;0.00712747839013531;False
K29_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0155289043004925;False;False;-31516575.94403667;False;False;0x00000209D11EFEF0;False;m;-0.011995395871031113;False
K31_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9042718187529096;False;False;64368169057.50383;False;False;0x00000209D11EFF28;False;m;0.004786824464509504;False
K31_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.003336622263576;False;False;-7668362.405818928;False;False;0x00000209D11EFF98;False;m;-0.0024385393132989306;False
K33_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9041386793997351;False;False;13181162287.979235;False;False;0x00000209D11EFFD0;False;m;0.010537444548444927;False
K33_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.055721255555406;False;False;-162802445.06769103;False;False;0x00000209D11EFF60;False;m;-0.03337980007722877;False
K35_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9016406189876608;False;False;27242142076.11966;False;False;0x00000209D11EF940;False;m;0.007338739531426248;False
K35_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0037104128771148;False;False;-13975979.226471826;False;False;0x00000209D11EF978;False;m;-0.002022422383968171;False
K37_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9016087576918675;False;False;60086803242.15516;False;False;0x00000209D11EF9B0;False;m;0.004952657812547688;False
K37_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0156400501007732;False;False;-69179258.80566454;False;False;0x00000209D11EF908;False;m;-0.007717784387269699;False
K39_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9004124094547811;False;False;3063873502.084074;False;False;0x00000209CF113908;False;m;0.021810259742275618;False
K39_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.990483710625718;False;False;118277400.34092265;False;False;0x00000209CF1130F0;False;m;0.002853405691968382;False
K41_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9013121354707144;False;False;11642977736.34117;False;False;0x00000209D0AA3E10;False;m;0.011205849355579242;False
K41_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0006801260696148;False;False;-19513462.15289032;False;False;0x00000209D0AA3FD0;False;m;-0.00013412084245296443;False
K43_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9012967301576893;False;False;14973681745.866035;False;False;0x00000209D0AA3F60;False;m;0.009885505059376439;False
K43_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9057477581516397;False;False;10170178641.240227;False;False;0x00000209D0AA3F28;False;m;0.011104175248514269;False
